auction_test
TEMP	EMBEDDING		GENERATOR	WEAK	STRONG	EMB	TIME
1.0	granite-embedding	phi3		0.0%	0.0%	50.0%	0.51
0.0	granite-embedding	phi4		0.0%	0.0%	50.0%	28.26
0.2	granite-embedding	phi4		0.0%	0.0%	50.0%	17.84
0.4	granite-embedding	phi4		0.0%	0.0%	50.0%	17.79
0.6	granite-embedding	phi4		0.0%	0.0%	50.0%	17.8
0.8	granite-embedding	phi4		0.0%	0.0%	50.0%	17.81
1.0	granite-embedding	phi4		0.0%	0.0%	50.0%	17.94
0.0	granite-embedding	qwen		0.0%	0.0%	50.0%	4.44
0.2	granite-embedding	qwen		0.0%	0.0%	50.0%	0.71
0.4	granite-embedding	qwen		0.0%	0.0%	50.0%	0.66
0.6	granite-embedding	qwen		0.0%	0.0%	50.0%	0.89
0.8	granite-embedding	qwen		0.0%	0.0%	50.0%	0.77
1.0	granite-embedding	qwen		0.0%	0.0%	50.0%	1.05
0.0	granite-embedding	qwen2		0.0%	0.0%	50.0%	10.7
0.2	granite-embedding	qwen2		0.0%	0.0%	50.0%	0.99
0.4	granite-embedding	qwen2		0.0%	0.0%	50.0%	0.99
0.6	granite-embedding	qwen2		0.0%	0.0%	50.0%	0.98
0.8	granite-embedding	qwen2		0.0%	0.0%	50.0%	0.98
1.0	granite-embedding	qwen2		0.0%	0.0%	50.0%	0.98
0.0	granite-embedding	qwen2.5		50.0%	50.0%	50.0%	11.71
0.2	granite-embedding	qwen2.5		0.0%	0.0%	50.0%	1.63
0.4	granite-embedding	qwen2.5		0.0%	0.0%	50.0%	1.64
0.6	granite-embedding	qwen2.5		0.0%	0.0%	50.0%	1.63
0.8	granite-embedding	qwen2.5		0.0%	0.0%	50.0%	1.63
1.0	granite-embedding	qwen2.5		0.0%	0.0%	50.0%	1.63
0.0	granite-embedding	qwen2.5-coder	50.0%	50.0%	50.0%	11.43
0.2	granite-embedding	qwen2.5-coder	50.0%	50.0%	50.0%	1.39
0.4	granite-embedding	qwen2.5-coder	100.0%	100.0%	50.0%	1.17
0.6	granite-embedding	qwen2.5-coder	50.0%	50.0%	50.0%	1.4
0.8	granite-embedding	qwen2.5-coder	100.0%	100.0%	50.0%	1.16
1.0	granite-embedding	qwen2.5-coder	50.0%	50.0%	50.0%	1.4
0.0	granite-embedding	mistral		50.0%	50.0%	50.0%	7.29
0.2	granite-embedding	mistral		50.0%	50.0%	50.0%	0.92
0.4	granite-embedding	mistral		50.0%	50.0%	50.0%	0.91
0.6	granite-embedding	mistral		50.0%	50.0%	50.0%	0.91
0.8	granite-embedding	mistral		50.0%	50.0%	50.0%	0.91
1.0	granite-embedding	mistral		50.0%	50.0%	50.0%	0.91
0.0	granite-embedding	deepseek-coder-v2	0.0%	0.0%	50.0%	21.09
0.2	granite-embedding	deepseek-coder-v2	0.0%	0.0%	50.0%	11.38
0.4	granite-embedding	deepseek-coder-v2	50.0%	50.0%	50.0%	11.05
0.6	granite-embedding	deepseek-coder-v2	50.0%	50.0%	50.0%	11.08
